what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249323053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249323069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249323069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249325003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249326844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249329761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249335315
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1350249346437
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1350249346500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249356234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1350249356250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249360446
error,log,,,"Failed to load properties file for project 'TaeKwon-Do Theory and Patterns'",1350249484966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350249485246
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350249485480
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350249485558
error,log,,,"java.util.LinkedHashMap.eldest()Ljava/util/Map$Entry;",1350249493280
error,log,,,"java.util.LinkedHashMap.eldest()Ljava/util/Map$Entry;",1350249526196
error,log,,,"java.util.LinkedHashMap.eldest()Ljava/util/Map$Entry;",1350249538052
error,log,,,"java.util.LinkedHashMap.eldest()Ljava/util/Map$Entry;",1350249543481
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1350249554089
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350249555899
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1350249555993
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350249556039
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1350249558723
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350249560907
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1350249567661
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350249580625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1350249588019
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1350249588207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350249589111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350249589782
error,log,,,"Parser exception for C:\\Users\\Andrew\\Dropbox\\Tae Kwon-Do Theory and Patterns\\App\\TaeKwon-Do Theory and Patterns\\AndroidManifest.xml: Element type ""application"" must be followed by either attribute specifications, "">"" or ""/>"".",1350249589876
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1350249590001
error,log,,,"Malformed manifest",1350249596818
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350249596865
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350249596865
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1350249598471
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350249598471
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350249599517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350249599595
